,species,genus,introduction,img_url,related_link_0,related_link_1,related_link_2,related_link_3
0,蝴蝶蘭,蝴蝶蘭屬,蝴蝶蘭是台灣的原生蘭花，其美麗的外表也帶來嚴重的人為採集，在台灣紅皮書內被列為極危等級。過去，蝴蝶蘭被歸類為Phalaenopsis amabilis，由於種名amabilis的前兩音節唸起來像「阿嬤」，故有「台灣阿嬤」之別稱。,https://i.imgur.com/37TiDnH.jpg,http://kplant.biodiv.tw/%E8%9D%B4%E8%9D%B6%E8%98%AD/%E8%9D%B4%E8%9D%B6%E8%98%AD.htm,https://en.wikipedia.org/wiki/Phalaenopsis_aphrodite,https://shopee.tw/search?keyword=%E8%9D%B4%E8%9D%B6%E8%98%AD,https://www.agriharvest.tw/archives/25120
1,台灣鈴蘭,火燒蘭屬,臺灣鈴蘭是最有可能在城市中發現的歐洲蘭花之一。在威斯康星州列為具有入侵性的雜草。此植物是中國最古老的花卉之一，寓意布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。和象徵著生活中的美好事物。,https://i.imgur.com/erUEBeK.jpg,https://bruce0342.blogspot.com/2019/09/blog-post_2.html,https://mtff98.pixnet.net/blog/post/385839872,https://shopee.tw/search?keyword=%E9%88%B4%E8%98%AD%E8%8A%B1,https://papameoww.pixnet.net/blog/post/249832658
2,竹葉蘭,竹葉蘭屬,通常我們可以在陽光充足的草原或田野上發現竹葉蘭的蹤影。它們常常會跟禾草長在一起，容易被誤認為是禾本科草類（Poaceae）。也因為其葉子像是竹葉，才得到了「竹葉蘭」一名。,https://i.imgur.com/kT8n2PC.jpg,http://kplant.biodiv.tw/%E7%AB%B9%E8%91%89%E8%98%AD/%E7%AB%B9%E8%91%89%E8%98%AD.htm,https://www.wikidata.org/wiki/Q15111744,https://www.ruten.com.tw/find/?q=%E7%AB%B9%E8%91%89%E8%98%AD,https://blog.xuite.net/e2202778/boaboa/15896018
3,黃穗蘭,穗花蘭屬,黃穗蘭是蘭花科（蘭科）中的一種附生，石生和一些陸地開花植物。它們從東南亞到新幾內亞。但是大多數物種都在婆羅洲或菲律賓發現。該屬產生微型的，芬芳的，星形的花，通常在直立或拱形的吊墜上開兩花，開許多花的總狀花序。莖卵球形到圓柱形，條紋，銳減的假鱗莖，基部具綠色到棕色片。每片帶有一或兩片堅硬，直立和披針形的葉子，葉柄狹窄。,https://i.imgur.com/rzWsZLI.jpg,http://kplant.biodiv.tw/%E9%BB%83%E7%A9%97%E8%98%AD/%E9%BB%83%E7%A9%97%E8%98%AD.htm,https://www.monaconatureencyclopedia.com/dendrochilum-uncatum/?lang=en,https://shopee.tw/%E8%8F%B2%E5%BE%8B%E8%B3%93%E9%BB%83%E7%A9%97%E8%98%AD%E4%B8%80%E7%9B%86100%E5%85%83-i.54580052.7126770590,https://www.ruten.com.tw/find/?q=%E9%BB%83%E7%A9%97%E8%98%AD
4,Prasophyllum colensoi,Prasophyllum,它只有一個管狀的深綠色葉子，並有多達二十種帶香味的黃綠色至紅棕色花。 Prasophyllum colensoi是一種陸生，多年生，落葉的草本植物，地下有塊莖，單根深綠色，管狀葉片，長5-10，寬0.08-0.2，基部發白。葉子的自由部分長3–5 。五到二十朵輕度香氣的花朵長成1-5朵長的花穗。花為黃綠色至紅褐色，長0.39–0.43 。,https://i.imgur.com/IRPTfTF.jpg,https://en.wikipedia.org/wiki/Prasophyllum_colensoi,https://www.nzpcn.org.nz/flora/species/prasophyllum-colensoi/,https://www.nativeorchids.co.nz/Descriptions/Prasophyllum_colensoi.html,https://www.nativeorchids.co.nz/Species/Prasophyllum_colensoi_spA.html
5,白拉索蘭,白拉索蘭屬,白拉索蘭生命力強，以濃郁的香氣而聞名，這種特別的香氣類似柑橘和梔子花般，主要是在夜晚散發出來，用來吸引夜間授粉的飛蛾。,https://i.imgur.com/0TsDtPS.jpg,https://en.wikipedia.org/wiki/Brassavola_nodosa,https://orchid-story.blogspot.com/2018/09/brassavola-nodosa.html,https://d6i6n6a6.pixnet.net/blog/post/38104081,https://blog.xuite.net/chiehhao609/blog/523515846
6,南洋白花蝴蝶蘭,蝴蝶蘭屬,此種植物俗稱「台灣阿嬤」，因其種小名前面兩個音節為阿嬤的諧音，也有一說是因為台灣阿嬤和南洋白花蝴蝶蘭同樣堅毅純潔。日本人在升官和婚禮時都喜歡贈送南洋白花蝴蝶蘭，有著高風亮節和高貴的涵義。,https://i.imgur.com/tYmwOee.jpg,https://en.wikipedia.org/wiki/Phalaenopsis_amabilis,https://zh.wikipedia.org/zh-tw/%E5%8D%97%E6%B4%8B%E7%99%BD%E8%8A%B1%E8%9D%B4%E8%9D%B6%E5%85%B0,https://zh.wikipedia.org/wiki/%E5%8D%97%E6%B4%8B%E7%99%BD%E8%8A%B1%E8%9D%B4%E8%9D%B6%E5%85%B0,https://raywang1016.pixnet.net/blog/post/307646996
7,布袋蘭,布袋蘭屬,布袋蘭通常在接近夏季時開花，憑藉鮮豔的顏色和甜美的香味來吸引傳粉者為它們授粉，但其實並不產蜜。該植物的壽命較短，很容易受到干擾，並對特定土壤真菌具有依賴性而難以移植，因此被某些地區列為受威脅物種。,https://i.imgur.com/2y3UEck.jpg,https://en.wikipedia.org/wiki/Calypso_bulbosa,https://www.easyatm.com.tw/wiki/%E5%B8%83%E8%A2%8B%E8%98%AD,https://zh.wikipedia.org/zh-tw/%E5%B8%83%E8%A2%8B%E5%85%B0%E5%B1%9E,https://zh.wikipedia.org/wiki/%E5%B8%83%E8%A2%8B%E5%85%B0%E5%B1%9E
8,Corallorhiza maculata,珊瑚蘭屬,Corallorhiza maculata的根莖和下部莖通常打結成分支的珊瑚形狀。莖通常為紅色或棕色，但偶爾為淺黃色或乳白色。莖具深紅色鱗片和復雜的蘭花花。萼片為深紅色或棕色，帶有紫色，長而尖的。側花瓣帶紅色，唇瓣明亮，潔白，有深紅色斑點。,https://i.imgur.com/qprN3ij.jpg,https://es.wikipedia.org/wiki/Corallorhiza_maculata,https://en.wikipedia.org/wiki/Corallorhiza_maculata,https://en.wikipedia.org/wiki/Corallorhiza_maculata#Description,https://en.wikipedia.org/wiki/Corallorhiza_maculata#References
9,章魚蘭,章魚蘭屬,章魚蘭是中美洲國家貝里斯的國花。因花朵盛開時很像章魚，被稱為「章魚蘭」。花朵能抵抗大部分害蟲。假鱗莖是蘭科植物用來貯藏水和養分的器官，可用於製作黏著劑。,https://i.imgur.com/AVRUgtf.jpg,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1001247-1,https://en.wikipedia.org/wiki/Prosthechea_cochleata,https://kknews.cc/zh-tw/agriculture/48838qg.html,https://shopee.tw/%E5%8E%9F%E7%94%9F%E7%A8%AE%E6%A8%B9%E8%98%AD-%E5%B0%8F%E7%AB%A0%E9%AD%9A-Enc.radiate-%E5%B0%8F%E7%AB%A0%E9%AD%9A%E8%B6%85%E9%A6%99-%E8%98%AD%E8%8A%B1-i.1418082.9929127146
